Algorithm,Problem,Iteration,Indicator,Average,Median,StandardDeviation,Count
AMOSA,UF1,100,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,200,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,300,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,400,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,500,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,600,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,700,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,800,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,900,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
AMOSA,UF1,1000,GenerationalDistance,0.5056515535432128,0.5060058334617503,0.06964363154575196,10
VEGA,UF1,100,GenerationalDistance,0.610574821565573,0.6060015391854733,0.06114536501678923,25
VEGA,UF1,200,GenerationalDistance,0.6070354770432382,0.5899084039213396,0.086582698850372,25
VEGA,UF1,300,GenerationalDistance,0.577162215593501,0.5778302991643199,0.09068767050738993,25
VEGA,UF1,400,GenerationalDistance,0.5479829706210226,0.5427482020005658,0.06028022791603762,25
VEGA,UF1,500,GenerationalDistance,0.5613387340430903,0.5493674488796204,0.09450903131697423,25
VEGA,UF1,600,GenerationalDistance,0.5404803584752973,0.5125702290070767,0.09066340581495616,25
VEGA,UF1,700,GenerationalDistance,0.5321404834302084,0.5109940529326011,0.10735794219757856,25
VEGA,UF1,800,GenerationalDistance,0.50554677585619,0.4971786514156852,0.08403951643041761,25
VEGA,UF1,900,GenerationalDistance,0.4813896232839174,0.4827744820502559,0.06485662039181454,25
VEGA,UF1,1000,GenerationalDistance,0.4790822956362707,0.4840727402580272,0.07535397465513631,25
VEGA,UF1,1100,GenerationalDistance,0.4488775300058494,0.4336669873811875,0.09380103251343216,20
VEGA,UF1,1200,GenerationalDistance,0.458939857884563,0.45286391928851516,0.12490572884835952,20
VEGA,UF1,1300,GenerationalDistance,0.42171526384222413,0.42152449536418474,0.09190251930351981,20
VEGA,UF1,1400,GenerationalDistance,0.3971171662684996,0.3741564867582412,0.11221272516407046,20
VEGA,UF1,1500,GenerationalDistance,0.4002926075932452,0.3773925027997753,0.12423854730890252,20
VEGA,UF1,1600,GenerationalDistance,0.3435375744870647,0.31889551940122607,0.09038261810060505,20
VEGA,UF1,1700,GenerationalDistance,0.3309561936649023,0.33141462972718516,0.09222364257796208,20
VEGA,UF1,1800,GenerationalDistance,0.3077623947212248,0.301052577687431,0.0968257252819303,20
VEGA,UF1,1900,GenerationalDistance,0.30717488058010767,0.29933499720508006,0.09382577291093877,20
VEGA,UF1,2000,GenerationalDistance,0.2585505164609774,0.24477157597159724,0.06834671787380181,20
VEGA,UF1,2100,GenerationalDistance,0.25289277088949297,0.24176342005266552,0.07911448408713043,20
VEGA,UF1,2200,GenerationalDistance,0.24402875578884956,0.2360268827716907,0.08255616583331407,20
VEGA,UF1,2300,GenerationalDistance,0.24618057919775593,0.22480221442747506,0.1028417342865182,20
VEGA,UF1,2400,GenerationalDistance,0.21429671170892275,0.21061145855957852,0.06636781685988727,20
VEGA,UF1,2500,GenerationalDistance,0.2187689095922552,0.21022902982585948,0.0671560260193979,20
VEGA,UF1,2600,GenerationalDistance,0.20564717236463825,0.19407067151042978,0.06300403464409973,20
VEGA,UF1,2700,GenerationalDistance,0.18037507718539997,0.16064841606901947,0.06681922725208692,20
VEGA,UF1,2800,GenerationalDistance,0.1912932028704085,0.1846974491970314,0.05277320265852001,20
VEGA,UF1,2900,GenerationalDistance,0.16832058503462108,0.15187956652692686,0.05056619754657338,20
VEGA,UF1,3000,GenerationalDistance,0.17220444317825678,0.14541651476125678,0.06715790710552219,20
VEGA,UF1,3100,GenerationalDistance,0.1452308835938496,0.1385202612057802,0.04440389052850181,20
VEGA,UF1,3200,GenerationalDistance,0.1468680981472615,0.1401458635405422,0.047636313657063833,20
VEGA,UF1,3300,GenerationalDistance,0.132788308749946,0.12455836817483906,0.041801924861972276,20
VEGA,UF1,3400,GenerationalDistance,0.12825117043445292,0.11634949338190588,0.04159483856589957,20
VEGA,UF1,3500,GenerationalDistance,0.1204321178972286,0.10935558216905693,0.0425935991157563,20
VEGA,UF1,3600,GenerationalDistance,0.11628789635940529,0.11259086287648867,0.030293838008554265,20
VEGA,UF1,3700,GenerationalDistance,0.11804583111442922,0.1190218790026884,0.03442375059102406,20
VEGA,UF1,3800,GenerationalDistance,0.10906216158850215,0.10952267997091035,0.03494142874389415,20
VEGA,UF1,3900,GenerationalDistance,0.10580622382802636,0.10470240059051558,0.034040795261357816,20
VEGA,UF1,4000,GenerationalDistance,0.09784533890650869,0.09025268058741084,0.030992001472539103,20
VEGA,UF1,4100,GenerationalDistance,0.0890645147717141,0.07593610429603409,0.03625563515163617,20
VEGA,UF1,4200,GenerationalDistance,0.09091610865251518,0.09218510838903698,0.03496654000981836,20
VEGA,UF1,4300,GenerationalDistance,0.08541445833270096,0.0828832443114347,0.03058392864218844,20
VEGA,UF1,4400,GenerationalDistance,0.08068172985936023,0.0780326185753996,0.029726186715368096,20
VEGA,UF1,4500,GenerationalDistance,0.07572484543616549,0.07269486681294007,0.028483189889142224,20
VEGA,UF1,4600,GenerationalDistance,0.07547183191347638,0.07929341462595088,0.02698763322316465,20
VEGA,UF1,4700,GenerationalDistance,0.07395448462784827,0.06402983810670962,0.028306685312259515,20
VEGA,UF1,4800,GenerationalDistance,0.06861144958801703,0.06002752385498478,0.03252162678657386,20
VEGA,UF1,4900,GenerationalDistance,0.0698565738463319,0.0606223700565115,0.034341937018155924,20
VEGA,UF1,5000,GenerationalDistance,0.06076392961669493,0.05614615686974804,0.026163400505565853,20
VEGA,UF1,5100,GenerationalDistance,0.056172704068220246,0.04929512809267424,0.026141210255153046,20
VEGA,UF1,5200,GenerationalDistance,0.05866463998070689,0.05054886312146355,0.02732097026509939,20
VEGA,UF1,5300,GenerationalDistance,0.05294062008928208,0.04559854612574439,0.021510688675404357,20
VEGA,UF1,5400,GenerationalDistance,0.05051275977956957,0.04649251088991464,0.021236199350085905,20
VEGA,UF1,5500,GenerationalDistance,0.04963072199013451,0.040224344992018546,0.02411405227249294,20
VEGA,UF1,5600,GenerationalDistance,0.047884421425853384,0.039809943646458706,0.02418768989451214,20
VEGA,UF1,5700,GenerationalDistance,0.04282674285112091,0.03458701634743949,0.023137534755720834,20
VEGA,UF1,5800,GenerationalDistance,0.043064982490522305,0.03771835130548257,0.022613016105493607,20
VEGA,UF1,5900,GenerationalDistance,0.04014762954916919,0.03627256044086321,0.017308320339112275,20
VEGA,UF1,6000,GenerationalDistance,0.040718110463588794,0.03372858401081045,0.020691326461686328,20
VEGA,UF1,6100,GenerationalDistance,0.037892484102879154,0.029461766138284308,0.022604641421682916,20
VEGA,UF1,6200,GenerationalDistance,0.036764742459750435,0.03181388193882741,0.019174414463009628,20
VEGA,UF1,6300,GenerationalDistance,0.03380286403323601,0.026141320145911688,0.01794621095451969,20
VEGA,UF1,6400,GenerationalDistance,0.03533834135918184,0.027646734690984325,0.021533659087240607,20
VEGA,UF1,6500,GenerationalDistance,0.031716214687479906,0.022975718855240954,0.017714012262630474,20
VEGA,UF1,6600,GenerationalDistance,0.03140450478128237,0.02335082275943476,0.02038994233459234,20
VEGA,UF1,6700,GenerationalDistance,0.03151397233457446,0.025515845983415962,0.019748888087506494,20
VEGA,UF1,6800,GenerationalDistance,0.03216835576386748,0.025923152650486857,0.021823534902023854,20
VEGA,UF1,6900,GenerationalDistance,0.029508741476840242,0.020260421330020463,0.02048919315506036,20
VEGA,UF1,7000,GenerationalDistance,0.02693246639189375,0.020283224013340418,0.017652914575591525,20
VEGA,UF1,7100,GenerationalDistance,0.025763285598352573,0.02019318844172334,0.0170741956580378,20
VEGA,UF1,7200,GenerationalDistance,0.025012267251593855,0.016687330729638728,0.01599010644229439,20
VEGA,UF1,7300,GenerationalDistance,0.02288655319904031,0.016868941194356644,0.013950947275985158,20
VEGA,UF1,7400,GenerationalDistance,0.022149300506067688,0.016660102182459134,0.01328780884101008,20
VEGA,UF1,7500,GenerationalDistance,0.02129042300998672,0.012682179731814038,0.015579767934562689,20
VEGA,UF1,7600,GenerationalDistance,0.020929434070683414,0.013901980697290355,0.014561226164523376,20
VEGA,UF1,7700,GenerationalDistance,0.020257410535857393,0.011977492753640476,0.015555066054639176,20
VEGA,UF1,7800,GenerationalDistance,0.017980730506482037,0.011606459045731723,0.013606536437801787,20
VEGA,UF1,7900,GenerationalDistance,0.017514702023932245,0.011165043759042568,0.012750697932261855,20
VEGA,UF1,8000,GenerationalDistance,0.018761640852669688,0.010771817874616089,0.016464368637444646,20
VEGA,UF1,8100,GenerationalDistance,0.01833182540686802,0.01042031541325866,0.017404013770293596,20
VEGA,UF1,8200,GenerationalDistance,0.015983786505991207,0.009522683779866866,0.011679107174668408,20
VEGA,UF1,8300,GenerationalDistance,0.015839738403182396,0.009323186571467312,0.013812309365614199,20
VEGA,UF1,8400,GenerationalDistance,0.014580416016561893,0.008292034602846669,0.012511085736968436,20
VEGA,UF1,8500,GenerationalDistance,0.014474227666901955,0.008673669768883448,0.014762609595769024,20
VEGA,UF1,8600,GenerationalDistance,0.013216488452005066,0.007981405213971384,0.009667789816664584,20
VEGA,UF1,8700,GenerationalDistance,0.012420643667044467,0.00731093526288135,0.01119919611333802,20
VEGA,UF1,8800,GenerationalDistance,0.01067069145424479,0.006791058314275478,0.007735721262680332,20
VEGA,UF1,8900,GenerationalDistance,0.01018314804105283,0.007697096557651188,0.006321451159333956,20
VEGA,UF1,9000,GenerationalDistance,0.010167990388677018,0.006495651572457746,0.0072833272499142985,20
VEGA,UF1,9100,GenerationalDistance,0.010378664088794154,0.0067413778355325076,0.007504018230811834,20
VEGA,UF1,9200,GenerationalDistance,0.009412193654461408,0.006411319810151735,0.006924330406138511,20
VEGA,UF1,9300,GenerationalDistance,0.00928196806621767,0.0067711453925449385,0.006896918145371181,20
VEGA,UF1,9400,GenerationalDistance,0.008742950104314194,0.0055961490761008564,0.006659518760085106,20
VEGA,UF1,9500,GenerationalDistance,0.008442311905335328,0.0062398403303259116,0.0062942545598883,20
VEGA,UF1,9600,GenerationalDistance,0.008893369985606497,0.007027496796244349,0.007319027897239261,20
VEGA,UF1,9700,GenerationalDistance,0.007912057705245543,0.004859496843827067,0.0080714054839719,20
VEGA,UF1,9800,GenerationalDistance,0.007690125177591653,0.0046966849122329814,0.008783861336072531,20
VEGA,UF1,9900,GenerationalDistance,0.009741282064428326,0.005071971661735572,0.016166853401870122,20
VEGA,UF1,10000,GenerationalDistance,0.006648487469811753,0.004709856348290865,0.005341738515716684,20
VEGA,UF2,100,GenerationalDistance,0.2380644887564653,0.23410224888086853,0.019833748130104217,10
VEGA,UF2,200,GenerationalDistance,0.2513227452707072,0.2539585829634982,0.027976727155355867,10
VEGA,UF2,300,GenerationalDistance,0.22477838846619025,0.21668962055882396,0.029876035139971502,10
VEGA,UF2,400,GenerationalDistance,0.22574946248977595,0.21874698247328517,0.025809314877045676,10
VEGA,UF2,500,GenerationalDistance,0.22219301982383846,0.22266144944582617,0.015124651115191208,10
VEGA,UF2,600,GenerationalDistance,0.1962194321260106,0.1920476055416223,0.017104031035015364,10
VEGA,UF2,700,GenerationalDistance,0.19301432443072397,0.19276032072918298,0.025191514206807708,10
VEGA,UF2,800,GenerationalDistance,0.19291311045258405,0.1821716398357967,0.028033252089199143,10
VEGA,UF2,900,GenerationalDistance,0.18396922448540018,0.17721699062195972,0.027964270494361725,10
VEGA,UF2,1000,GenerationalDistance,0.159670154161094,0.15771254859625966,0.016117732306207395,10
VEGA,UF2,1100,GenerationalDistance,0.16655112061293176,0.16249430107890506,0.017308469855442127,10
VEGA,UF2,1200,GenerationalDistance,0.15974759172768135,0.15046303036132347,0.0321546773371089,10
VEGA,UF2,1300,GenerationalDistance,0.14693575638786688,0.14826061648134403,0.016037556497430598,10
VEGA,UF2,1400,GenerationalDistance,0.1401819508015789,0.1400865044756664,0.012884019862252882,10
VEGA,UF2,1500,GenerationalDistance,0.13140555302033344,0.12919486313327394,0.008347222429765428,10
VEGA,UF2,1600,GenerationalDistance,0.12748236454179535,0.1308090539430416,0.011464805401746042,10
VEGA,UF2,1700,GenerationalDistance,0.1245446672151834,0.12395931472085459,0.018597833521369338,10
VEGA,UF2,1800,GenerationalDistance,0.11998541493062845,0.11197163356909338,0.027792929806826332,10
VEGA,UF2,1900,GenerationalDistance,0.11969461624974176,0.11794505665934238,0.017006698720766402,10
VEGA,UF2,2000,GenerationalDistance,0.10741365861535587,0.10197352242868171,0.014886456901810955,10
VEGA,UF2,2100,GenerationalDistance,0.11265857978033725,0.10552584302739082,0.021940236923904087,10
VEGA,UF2,2200,GenerationalDistance,0.09860825314929215,0.0963764175961301,0.014802170045828083,10
VEGA,UF2,2300,GenerationalDistance,0.0971526886131687,0.09014805424449082,0.025880552160488995,10
VEGA,UF2,2400,GenerationalDistance,0.08336936475191596,0.07914406225742797,0.01363835559562083,10
VEGA,UF2,2500,GenerationalDistance,0.08134631990058407,0.08001366704859193,0.012018800823250146,10
VEGA,UF2,2600,GenerationalDistance,0.07692340884721496,0.0769240273021519,0.009489818650400585,10
VEGA,UF2,2700,GenerationalDistance,0.07648456358667369,0.07544136894717116,0.011844706342556048,10
VEGA,UF2,2800,GenerationalDistance,0.07308034749332291,0.06336703527342716,0.019404348807183617,10
VEGA,UF2,2900,GenerationalDistance,0.06724696960204055,0.06566281810908955,0.00693762517157414,10
VEGA,UF2,3000,GenerationalDistance,0.06064645843069759,0.06131049960667356,0.011032530672346854,10
VEGA,UF2,3100,GenerationalDistance,0.06251477201052197,0.06142532027612192,0.012136394781318512,10
VEGA,UF2,3200,GenerationalDistance,0.061793391706620675,0.054276679011039275,0.013825748962151543,10
VEGA,UF2,3300,GenerationalDistance,0.058859343162079844,0.05887361742393058,0.0156575289820395,10
VEGA,UF2,3400,GenerationalDistance,0.05326348098453617,0.057647640496713205,0.009881545664242444,10
VEGA,UF2,3500,GenerationalDistance,0.05368903451289388,0.047681237749551394,0.01618747994930832,10
VEGA,UF2,3600,GenerationalDistance,0.054591810006124744,0.05018675215894692,0.01749731046384692,10
VEGA,UF2,3700,GenerationalDistance,0.05181443314729923,0.04669822414060361,0.016363370910531194,10
VEGA,UF2,3800,GenerationalDistance,0.047950108496298126,0.052637655858112115,0.01059759663792104,10
VEGA,UF2,3900,GenerationalDistance,0.045234650529365476,0.04613742136817969,0.009490817575130619,10
VEGA,UF2,4000,GenerationalDistance,0.04217560456614221,0.04030065206153893,0.009555096212254359,10
VEGA,UF2,4100,GenerationalDistance,0.03900201113130833,0.03712616672718945,0.006828950971697359,10
VEGA,UF2,4200,GenerationalDistance,0.042582291693760724,0.040357874532314444,0.009507526081335661,10
VEGA,UF2,4300,GenerationalDistance,0.043077038516198186,0.039751247826749866,0.009478241992775287,10
VEGA,UF2,4400,GenerationalDistance,0.04095205329450982,0.03229723768601603,0.01551085252744156,10
VEGA,UF2,4500,GenerationalDistance,0.037580358098019705,0.036320731638117984,0.011912509150659716,10
VEGA,UF2,4600,GenerationalDistance,0.03365300526517082,0.03164413079015829,0.007783855303322526,10
VEGA,UF2,4700,GenerationalDistance,0.03435094859504179,0.030608968723436245,0.00923327159827141,10
VEGA,UF2,4800,GenerationalDistance,0.03438099148436322,0.033251203442317814,0.007960317627168673,10
VEGA,UF2,4900,GenerationalDistance,0.032052712813973955,0.030732719077558528,0.008351407391346214,10
VEGA,UF2,5000,GenerationalDistance,0.03356825551775865,0.03271590223008725,0.008506404528038905,10
VEGA,UF2,5100,GenerationalDistance,0.03315687609784258,0.03329631563251614,0.006971513333298999,10
VEGA,UF2,5200,GenerationalDistance,0.032158518549075296,0.03194078340272213,0.009751130879859507,10
VEGA,UF2,5300,GenerationalDistance,0.031524130755210135,0.027471117466102646,0.010057994324907595,10
VEGA,UF2,5400,GenerationalDistance,0.02842967836482882,0.02930275766518041,0.008777450399321474,10
VEGA,UF2,5500,GenerationalDistance,0.0270439331792677,0.025521269057202818,0.006501766671381203,10
VEGA,UF2,5600,GenerationalDistance,0.02982054472010818,0.029788946028463534,0.008100473802850193,10
VEGA,UF2,5700,GenerationalDistance,0.02859670871271258,0.028743677054465427,0.006247229184591863,10
VEGA,UF2,5800,GenerationalDistance,0.026625430036285654,0.02319011116964611,0.006754714536869311,10
VEGA,UF2,5900,GenerationalDistance,0.02622460253101284,0.025772822489846452,0.0059911349380835305,10
VEGA,UF2,6000,GenerationalDistance,0.024437988167465494,0.024770447802114074,0.004893590995163294,10
VEGA,UF2,6100,GenerationalDistance,0.023984102751502565,0.02266177470740053,0.00616582605052896,10
VEGA,UF2,6200,GenerationalDistance,0.026379966153338087,0.02765070734921865,0.007904135729245906,10
VEGA,UF2,6300,GenerationalDistance,0.02472754792808203,0.022031212336824636,0.006711859320659968,10
VEGA,UF2,6400,GenerationalDistance,0.023576495898845674,0.024073312352211326,0.004733016521172133,10
VEGA,UF2,6500,GenerationalDistance,0.021669195599137197,0.020750984564700876,0.005569813141855589,10
VEGA,UF2,6600,GenerationalDistance,0.021210050386710772,0.021435912158650428,0.00538047516585718,10
VEGA,UF2,6700,GenerationalDistance,0.02106484230191802,0.02086042771831609,0.005419870964072563,10
VEGA,UF2,6800,GenerationalDistance,0.020778488198951846,0.02233029489298574,0.004565108500510219,10
VEGA,UF2,6900,GenerationalDistance,0.018760858606906034,0.018106061996259255,0.004818255914828235,10
VEGA,UF2,7000,GenerationalDistance,0.01686146974117868,0.016568557499262074,0.0047042088836177,10
VEGA,UF2,7100,GenerationalDistance,0.017342067903157288,0.016154055233682553,0.004485086130050025,10
VEGA,UF2,7200,GenerationalDistance,0.01746569765320025,0.01706667881811711,0.002996814472432221,10
VEGA,UF2,7300,GenerationalDistance,0.016822826378730376,0.01657196271251464,0.0042900831526731485,10
VEGA,UF2,7400,GenerationalDistance,0.016538723345440758,0.016901856780439505,0.003735931834777208,10
VEGA,UF2,7500,GenerationalDistance,0.016100524571934224,0.015626115667893865,0.004141869026170836,10
VEGA,UF2,7600,GenerationalDistance,0.015836833562304767,0.014144367711064048,0.003924914861016548,10
VEGA,UF2,7700,GenerationalDistance,0.01833219136599376,0.018546237856077022,0.005992588052733713,10
VEGA,UF2,7800,GenerationalDistance,0.01651821210399131,0.01749277270651401,0.0035488524149330583,10
VEGA,UF2,7900,GenerationalDistance,0.01699701758100455,0.017989957189843843,0.002614191418585439,10
VEGA,UF2,8000,GenerationalDistance,0.016609199093200314,0.016899549427564352,0.0033834681811805577,10
VEGA,UF2,8100,GenerationalDistance,0.01718716902880287,0.016234134464190433,0.0061975153204182265,10
VEGA,UF2,8200,GenerationalDistance,0.015832876732565115,0.01467719938002526,0.0047477503709837604,10
VEGA,UF2,8300,GenerationalDistance,0.016625237994776308,0.0170118683326988,0.005553730963529634,10
VEGA,UF2,8400,GenerationalDistance,0.015027405462321381,0.014820425271019722,0.0033225167572492175,10
VEGA,UF2,8500,GenerationalDistance,0.01667265346798848,0.015079545525485388,0.004501453816683708,10
VEGA,UF2,8600,GenerationalDistance,0.017040034222746483,0.01814617460682657,0.0033055664385599945,10
VEGA,UF2,8700,GenerationalDistance,0.01599249156757024,0.015217248956916132,0.002965680394908672,10
VEGA,UF2,8800,GenerationalDistance,0.014228301210640528,0.013608715175264696,0.003470227221158008,10
VEGA,UF2,8900,GenerationalDistance,0.015504641859941564,0.015028594425527243,0.004086091010333994,10
VEGA,UF2,9000,GenerationalDistance,0.01445076872611298,0.014055714563988336,0.0032533848107596654,10
VEGA,UF2,9100,GenerationalDistance,0.015296700812247968,0.015620301158581207,0.0035070678149920235,10
VEGA,UF2,9200,GenerationalDistance,0.014696668613538518,0.015328941938656894,0.00275708671847841,10
VEGA,UF2,9300,GenerationalDistance,0.014559159367583422,0.014591474401179437,0.003026694095073927,10
VEGA,UF2,9400,GenerationalDistance,0.013446334263342644,0.014029254739987066,0.0020492395412823683,10
VEGA,UF2,9500,GenerationalDistance,0.01439217687503818,0.014225683408994962,0.003882861401074128,10
VEGA,UF2,9600,GenerationalDistance,0.013131665924898367,0.012501686952298072,0.002645149095426109,10
VEGA,UF2,9700,GenerationalDistance,0.01374500183175197,0.013650675282524467,0.004131640253946388,10
VEGA,UF2,9800,GenerationalDistance,0.013582113561285436,0.014529255512777369,0.0033553625423647006,10
VEGA,UF2,9900,GenerationalDistance,0.013460753985853172,0.01374864778117111,0.0032090757375009614,10
VEGA,UF2,10000,GenerationalDistance,0.014155226023903988,0.014600659816522808,0.0036324982629687367,10
VEGA,UF3,100,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,200,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,300,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,400,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,500,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,600,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,700,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,800,Hypervolume,0.0,0.0,0.0,3
VEGA,UF3,900,Hypervolume,1.6895207041417025E-4,0.0,2.926335700012974E-4,3
VEGA,UF3,1000,Hypervolume,0.0,0.0,0.0,3
